t;x_m2;y_m2;r_m2;x_m1;y_m1;r_m1
0.00;-42.27;758.70;93.19;-12.56;440.70;91.63
0.01;-51.49;759.10;93.88;-15.39;443.40;91.99
0.02;-60.62;756.70;94.58;-15.97;443.10;92.06
0.03;-70.94;755.50;95.36;-17.66;443.10;92.28
0.04;-82.04;754.70;96.20;-18.78;443.10;92.43
0.05;-98.66;756.50;97.43;-19.90;443.10;92.57
0.06;-103.90;750.80;97.88;-22.15;443.60;92.86
0.07;-113.40;748.80;98.61;-23.27;443.10;93.01
0.08;-126.90;745.60;99.66;-24.39;442.50;93.16
0.09;-140.40;743.20;100.70;-25.52;442.00;93.30
0.10;-153.90;738.50;101.80;-28.32;443.10;93.66
0.11;-170.60;731.70;103.10;-29.44;443.10;93.80
0.12;-188.00;725.40;104.50;-31.13;442.50;94.02
0.13;-206.30;715.80;106.10;-31.69;442.00;94.10
0.14;-226.10;705.10;107.80;-33.94;442.00;94.39
0.15;-249.10;690.80;109.80;-36.74;442.00;94.75
0.16;-272.30;671.70;112.10;-38.99;442.50;95.03
0.17;-296.30;651.90;114.40;-41.23;443.10;95.32
0.18;-320.80;625.40;117.20;-45.72;442.00;95.91
0.19;-344.80;593.30;120.20;-48.53;441.40;96.27
0.20;-367.40;555.50;123.50;-53.58;440.80;96.93
0.21;-384.80;512.70;126.90;-58.63;439.10;97.61
0.22;-400.40;458.80;131.10;-66.49;439.10;98.61
0.23;-408.90;406.00;135.20;-74.91;438.00;99.71
0.24;-409.50;344.30;139.90;-86.14;436.30;101.20
0.25;-399.90;284.80;144.50;-98.49;433.00;102.80
0.26;-380.50;225.30;149.40;-113.10;430.20;104.70
0.27;-348.00;164.90;154.60;-131.00;424.60;107.20
0.28;-304.30;112.50;159.70;-153.50;418.40;110.10
0.29;-253.50;76.02;163.30;-177.10;409.40;113.40
0.30;-199.50;55.38;164.50;-205.10;395.90;117.40
0.31;-144.00;51.41;160.30;-235.50;380.20;121.80
0.32;-97.77;66.56;145.80;-266.30;361.10;126.40
0.33;-61.77;92.56;123.70;-298.30;334.70;131.70
0.34;-41.77;130.60;107.70;-330.30;303.90;137.40
0.35;-38.77;174.60;102.50;-361.80;267.90;143.50
0.36;-53.77;218.60;103.80;-390.40;227.00;149.80
0.37;-87.77;259.60;108.70;-415.10;179.20;156.60
0.38;-136.80;286.60;115.50;-433.60;125.90;163.80
0.39;-205.80;304.60;124.00;-447.60;68.11;171.30
0.40;-287.80;302.60;133.60;-452.70;5.24;179.30
0.41;-381.60;276.40;144.10;-449.30;-57.07;-172.80
0.42;-482.70;219.00;155.60;-438.10;-119.90;-164.70
0.43;-581.90;118.50;168.50;-416.20;-178.90;-156.70
0.44;-653.80;-25.20;-177.80;-388.70;-232.80;-149.10
0.45;-682.20;-216.90;-162.40;-355.00;-278.80;-141.90
0.46;-635.80;-425.40;-146.20;-320.20;-319.20;-135.10
0.47;-497.80;-603.60;-129.50;-283.20;-352.90;-128.70
0.48;-302.60;-708.30;-113.10;-242.80;-382.10;-122.40
0.49;-88.96;-725.30;-96.99;-189.40;-409.00;-114.80
0.50;92.11;-680.00;-82.29;-126.60;-433.20;-106.30
0.51;237.80;-595.10;-68.22;-52.46;-447.80;-96.68
0.52;348.10;-494.70;-54.87;30.62;-447.80;-86.09
0.53;431.60;-398.50;-42.72;114.80;-431.50;-75.10
0.54;496.70;-308.00;-31.80;192.30;-401.20;-64.39
0.55;555.50;-224.90;-22.04;265.30;-355.70;-53.29
0.56;603.70;-151.90;-14.13;325.90;-295.60;-42.21
0.57;647.50;-84.58;-7.44;373.00;-232.80;-31.96
0.58;683.40;-26.20;-2.20;407.30;-164.80;-22.04
0.59;711.50;24.32;1.96;426.90;-91.87;-12.14
0.60;726.30;66.97;5.27;435.90;-22.83;-3.00
0.61;731.10;97.14;7.57;432.50;46.21;6.10
0.62;723.10;124.10;9.74;421.30;106.30;14.16
0.63;707.30;144.80;11.57;402.20;161.30;21.85
0.64;681.80;160.70;13.26;380.30;210.70;28.98
0.65;651.70;173.40;14.90;354.50;253.30;35.55
0.66;621.50;184.50;16.53;328.10;285.90;41.07
0.67;585.00;189.30;17.93;301.20;316.20;46.40
0.68;548.40;192.40;19.34;270.90;340.90;51.53
0.69;508.70;187.70;20.25;242.80;361.70;56.13
0.70;470.60;182.90;21.24;217.00;379.60;60.25
0.71;427.70;176.60;22.43;191.20;393.70;64.10
0.72;384.80;163.80;23.06;166.50;403.80;67.60
0.73;335.60;148.00;23.79;145.70;413.90;70.61
0.74;284.80;135.30;25.41;123.80;421.70;73.64
0.75;232.40;121.00;27.50;105.80;427.40;76.09
0.76;176.80;106.70;31.11;87.87;431.80;78.50
0.77;116.40;101.90;41.19;72.16;434.10;80.56
0.78;56.08;100.30;60.79;56.44;436.90;82.64
0.79;-10.62;106.70;95.69;43.53;439.70;84.35
0.80;-70.97;119.40;120.70;29.50;441.40;86.18
0.81;-125.00;135.30;132.70;17.15;441.40;87.78
0.82;-179.00;157.50;138.70;3.11;442.00;89.60
0.83;-226.60;182.90;141.10;-11.48;442.00;91.49
0.84;-272.70;211.50;142.20;-27.20;442.50;93.52
0.85;-310.80;236.90;142.70;-41.79;442.00;95.40
0.86;-347.30;257.60;143.40;-59.76;439.70;97.74
0.87;-377.50;281.40;143.30;-78.28;437.50;100.10
0.88;-409.30;300.40;143.70;-97.37;433.50;102.70
0.89;-435.30;308.40;144.70;-118.10;429.60;105.40
0.90;-464.70;320.10;145.40;-140.60;422.90;108.40
0.91;-491.20;321.40;146.80;-164.70;416.10;111.60
0.92;-516.40;320.10;148.20;-187.70;403.80;114.90
0.93;-545.40;318.90;149.70;-214.70;392.00;118.70
0.94;-573.30;305.20;152.00;-241.60;375.70;122.70
0.95;-599.10;288.30;154.30;-268.60;357.80;126.90
0.96;-628.50;266.00;157.10;-297.20;336.40;131.50
0.97;-655.30;242.90;159.70;-325.80;309.50;136.50
0.98;-682.90;212.60;162.70;-353.30;275.80;142.00
0.99;-712.30;174.20;166.30;-381.40;237.60;148.10
1.00;-738.10;133.20;169.80;-408.30;193.30;154.70
1.01;-760.80;91.56;173.10;-428.60;140.00;161.90
1.02;-775.80;41.56;176.90;-446.50;81.02;169.70
1.03;-784.80;-12.44;-179.10;-452.70;13.66;178.30
1.04;-781.80;-69.44;-174.90;-449.30;-59.32;-172.50
1.05;-764.80;-130.40;-170.30;-431.90;-136.80;-162.40
1.06;-734.80;-199.40;-164.80;-403.10;-210.70;-152.40
1.07;-686.80;-272.40;-158.40;-355.80;-283.80;-141.40
1.08;-623.80;-351.40;-150.60;-295.30;-344.40;-130.60
1.09;-547.80;-439.40;-141.30;-221.20;-393.80;-119.30
1.10;-457.80;-522.40;-131.20;-140.50;-429.70;-108.10
1.11;-339.80;-609.40;-119.10;-57.34;-444.90;-97.34
1.12;-197.80;-682.40;-106.20;25.20;-448.60;-86.78
1.13;-27.77;-729.40;-92.18;100.20;-436.70;-77.08
1.14;154.20;-731.40;-78.09;166.30;-414.60;-68.14
1.15;334.20;-679.40;-63.81;223.70;-384.40;-59.80
1.16;488.20;-578.40;-49.83;270.30;-349.70;-52.30
1.17;599.20;-433.40;-35.88;311.90;-314.40;-45.23
1.18;656.20;-278.40;-22.99;347.20;-269.70;-37.84
1.19;671.20;-120.40;-10.17;378.70;-223.70;-30.57
1.20;650.20;21.56;1.90;403.90;-168.90;-22.69
1.21;603.20;140.60;13.12;420.30;-117.20;-15.58
1.22;540.20;238.60;23.83;431.60;-62.38;-8.22
1.23;468.20;311.60;33.64;436.00;-6.93;-0.91
1.24;395.20;366.60;42.84;432.30;44.11;5.83
1.25;323.20;404.60;51.38;423.40;95.78;12.75
1.26;251.20;430.60;59.74;410.80;141.10;18.96
1.27;186.20;440.60;67.09;394.40;182.70;24.86
